Altium Designer Pick and Place Locations
C:\Users\s-fre\Github\biogap_public\submodules\sensei-emg-shield\Hardware\EMG_shield_pcb\Project Outputs for EMG_shield\production_files\EMG_shield.txt

========================================================================================================================
File Design Information:

Date:       20.04.26
Time:       15:55
Revision:   b5c6f858773118c0f0ba1962b5b7046f4e8b66e7
Variant:    Bipolar_supply
Units used: mm

Designator     Comment                   Layer       Footprint                       Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                  
J_B1N          0603_pad1_22              BottomLayer 0603_PAD_2_-_duplicate22        16.9000      56.7500      180      ""                                                                                                                                           
J_A8P          0603_pad1_15              TopLayer    0603_PAD_2_-_duplicate15        12.0799      56.7500      0        ""                                                                                                                                           
J_A7P          0603_pad1_13              TopLayer    0603_PAD_2_-_duplicate13        12.0799      50.7500      0        ""                                                                                                                                           
J_A6P          0603_pad1_11              TopLayer    0603_PAD_2_-_duplicate11        12.0799      44.7500      0        ""                                                                                                                                           
J_A6N          0603_pad1_12              TopLayer    0603_PAD_2_-_duplicate12        12.0799      47.7500      0        ""                                                                                                                                           
J_A5P          0603_pad1_9               TopLayer    0603_PAD_2_-_duplicate9         12.0799      38.7500      0        ""                                                                                                                                           
J_A5N          0603_pad1_10              TopLayer    0603_PAD_2_-_duplicate10        12.0799      41.7500      0        ""                                                                                                                                           
J_A4P          0603_pad1_7               TopLayer    0603_PAD_2_-_duplicate7         16.6264      41.7500      0        ""                                                                                                                                           
J_A4N          0603_pad1_8               TopLayer    0603_PAD_2_-_duplicate8         16.6264      38.7500      0        ""                                                                                                                                           
J_A3P          0603_pad1_5               TopLayer    0603_PAD_2_-_duplicate5         16.7046      47.7500      0        ""                                                                                                                                           
J_A3N          0603_pad1_6               TopLayer    0603_PAD_2_-_duplicate6         16.6264      44.7500      0        ""                                                                                                                                           
J_A2P          0603_pad1_3               TopLayer    0603_PAD_2_-_duplicate3         16.7046      53.7500      180      ""                                                                                                                                           
J_A2N          0603_pad1_4               TopLayer    0603_PAD_2_-_duplicate4         16.7046      50.7500      0        ""                                                                                                                                           
J_A1P          0603_pad1_1               TopLayer    0603_PAD_2_-_duplicate1         16.7046      59.7500      0        ""                                                                                                                                           
J_A1N          0603_pad1_2               TopLayer    0603_PAD_2_-_duplicate2         16.7046      56.7500      0        ""                                                                                                                                           
C42            CL05A105KP5NNNC           TopLayer    FP-CL511-IPC_C                  19.3464      1.7500       0        "Cap Ceramic 1uF 10V X5R ±10% SMD 0402 +85°C Paper T/R"                                                                                      
C41            CL05A104KA5NNNC           TopLayer    FP-CL278-IPC_C                  19.3750      2.4000       0        "Cap Ceramic 100nF 25V X5R ±10% SMD 0402 +85°C Paper T/R"                                                                                    
R12            RC0402FR-070RL            BottomLayer FP-RC0402-0_4-IPC_C             19.3750      5.8750       180      "RES SMD 0 OHM JUMPER 1/16W 0402"                                                                                                            
R11            RC0402FR-070RL            TopLayer    FP-RC0402-0_4-IPC_C             9.9250       4.5750       180      "RES SMD 0 OHM JUMPER 1/16W 0402"                                                                                                            
R33            RC0402FR-070RL            TopLayer    FP-RC0402-0_4-IPC_C             9.3500       11.9714      270      "RES SMD 0 OHM JUMPER 1/16W 0402"                                                                                                            
U6             TPS22916CYFPR             BottomLayer BGA4C40P2X2_78X78X50            16.8000      1.9000       270      "Integrated Circuit"                                                                                                                         
R14            RC0402FR-070RL            TopLayer    FP-RC0402-0_4-IPC_A             9.4000       5.9000       270      "RES SMD 0 OHM JUMPER 1/16W 0402"                                                                                                            
